filename,language,transcription,translation,transcription_summarisation,translation_summarisation
MEGA 12.1.mp3,ach,bedo tino ma tino en man ma nongo gunywalo ni wek gudok i gang kwan maber omyero kong ki gur gi ki minigi tam ki pwony gi pi ngo ma nongo gi nywal miti gi me rwenyo lawi enuni pwony ma myero kipwony gi ki dong ngo gunongo dok gin eni pien balo nyim dong mak kwan ma i dok iye ni pe dok gin caani pe en balo nyim miyo ci gin niang pien gin pwod gi tino,young children who were born in order to go back to school should first be educated and trained for what they are born with the desire to learn the lessons they need to learn and what they need to learn and this is because it destroys the future of the education system and does not destroy the future of the future of the future of the future of the future of the future of the future of the future of the future of the future of the future of the future of the,,Children born for educational purposes should receive training and education before returning to school. This ensures a strong foundation for their future success.
MEGA 12.2.mp3,ach,nya florelenaaalto to a lak ma dota wene latin gin ni i soridaapennao ni latin ni in ugonfinicedi cito kwano aloko kwede ma mol pien kit lok ki mine kede wa n aye came omyero cak filing en bene ocito i timo timo in dong to el wit yo wot everything ci no eni party ka pwony nongo atye ka neko gang aye,florelenaaalto's daughter died of a measles outbreak on her mother's side when she was a teenager when she was a teenager when she was a teenager when she was a teenager when she was a teenager when she was a teenager when she was a teenager when she was a teenager when she was a teenager when she was a teenager when she was a teenager when she was a teenager when she was a teenager,,A woman lost her daughter to a measles outbreak while they were both teenagers. This tragedy deeply affected the family.
MEGA 12.3.mp3,ach,mon yoo me waromo konyo ki lutino wan lunyodo ma wakato ki peki mapol we can ki lutinowa ma gitye ka nywal con kadugu ki lutino gi kor calo en ma nono gunywal ki cukul an bi kwanyo latin ma caro lanyodo ci keto piny wa neno gin ma otimme ki gwoko gin myero konyi ke en miyo tam ni cito madiki kwan en myero lewic obed pe do cat ne dong labole lanyute dong oneno gin ma en maro lok ki latin ki i pe ki latin ni gwoko en mito en me ki kwan man ma romo konyo me kelo ki lon kene party to an aye yom tutwal me neno nongo tupikinipenkare weng wa i tam me long ot i kom ker ki i lain enuni rom ki keto miti weng birenolebico konyo nen gi weng me timo gin weng ki dong cul ka en cito iye bedo ki pwonye macalo lanyut ki bedo ki lupwonye ki lupwonye bibedo ka tito jami mukene ma ngeyo en kadi ngo ki en bene ki lupwonye acel tye nono gi bi rwenyo lewic wan pe wa in cako mako kwan joo kene ma kit gi miyo labol labol mukene tye ma ginong omiyo ne ma tye kin lupwonye ki no no gin ma an angeyo ni romo time an lupwonye mukene tye maber gin time kom en obed tye lapwony ka gimiyo labol ma kom lok enoni ci en neno we gubedo ngat doko lapwony kom yam pe time calo an man aye gin ma angeyo,"women how can we help our children parents who are going through a lot of problems we suffer with our children who are giving birth at a young age and their children like him who is not giving birth at school I will take the child to the village and put him down to see what happened and take care of them you need to help him to go to school tomorrow he should not be ashamed to sell it for example he has seen what he likes to talk to the child and not the i am very happy to see that all the political parties in the country are against the idea of building a monarchy in such a way as to put in place a monarchy that will help them to do everything and pay for it if he goes to school and teaches them, he will tell them what he knows and he and the teachers are free to do so they will lose their shame and we will not be able to go to school. the relationship between teachers and teachers is what I know that it can happen to me some teachers are good to be there when they give an example of that and he sees them as a teacher it doesn't happen to me that's what I know",,A parent struggling with their children facing challenges related to teenage pregnancy and school attendance is seeking support from the community. The parent intends to bring the child to the village for guidance and assistance while also helping the child feel comfortable returning to school without shame.
MEGA 9.1.mp3,ach,an ma rec bedo ka kwan gin ma myero atim anyira atino obedo tye ayaconobedopeko me ngo tino cako kwo kengi i ot timo calo dong nongo nga wote moro ca dong konye mon obedo peko me tin tye ka ken bongo toto gi pako gicako ken lutino anyira nongo cako mwaka parade pien atin nyako me mwaka apar no pol pe neno meno me tam me kome dwong ma ma neno dwong cako neno coo ci omyero cak wokekatekede nyodo mere nongo pwony ki mito ki nyodo medo pe nongo kite ten romo pwonyere kwedo ngo pe tye,i am a fisherman studying what to do with young girls there is a problem of what to do with young ones living alone in the house as if there is a road and it helps women is a problem of today is wearing their mother's clothing they praise themselves because the ten-year-old girl doesn't see the idea of seeing a lot of men and she has to look at her breasts to get training and want to get more breasts so she can,,"A man finds himself in a difficult situation when he comes across a group of young girls who are alone in his home. He struggles with how to deal with them, unsure of whether he should let them stay or not."
MEGA 9.2.mp3,ach,ki nying ki lwongo ne laco moni bedo ma lobo ki tung bota gin wek anen lutino anyira tye ka yac con en aye ma pwony tye muromo lutino pien wan lunyodo kombedi ni wape ki cawa me bedo cok ki lutino nongo gu diko puk kariyagaconi latin dong gang ki medo ki gang en dong nongo wek kit kwo kome ma aryo gin ma neno wacito ka kelo peko be ki lutino anyira wa eni ma dong mito mukato luloc i kom lutino ma meg to kenyo bongo mabeco tye kenyo pete mabeco in lanyodo ki gang ka pe romo wilo n tamo ni omyero en nong ki woko en dong pe romo cako bedo ki lurem ma obe ki it kono long mo i enuni ki i dog marac i kom yaco wa ki to be mogo iye,the name and the name of a man who is a nationalist from my side to see girls getting pregnant early is the reason why we parents no longer have time to spend with our children when they are away from home and at home so that we can have a double standard of living that we see as a problem with our daughters who now want to go beyond the control of their children's mothers and their children's mothers and their children's mothers and their he can buy n think that he should get it from outside he can no longer make friends with people who have ears if there is anything wrong with the pregnancy and death of some of them,,"A parent expresses frustration about how a man's views on early pregnancies have impacted their family dynamic, leading to limited time spent together. This has resulted in a desire for independence among their daughter, who wants more autonomy in her life. The situation has also caused tension within their community."
MEGA 9.3.mp3,ach,many gilwununen abedo obiya pe me wek onyitoluyaucon me acel pe ki ngeyo yoo me gwoko komgi ma ariyo pwony ki gang peko ma i pal ki gwok mo ma nyo lunyodo me weko tam ma pe ki gang kene wek te ayito keno ki cito wa con en mukene tye kabedo wa coo joge ki yo me wilo wil ki tic ki can ma en kelo ngo in yac pa nyako en ocom,many people look at me with disdain for the first time they don't know how to take care of themselves secondly they don't know how to take care of themselves secondly they don't know how to take care of themselves secondly they don't know how to take care of themselves secondly they don't know how to take care of themselves secondly they don't know how to take care of themselves secondly they don't know how to take,,"Many individuals perceive me as disheveled and unkempt, but they are unaware that I am actually quite capable of taking care of myself."
SIMBA 10.1.mp3,lug,ndowooza yange ku baana bano abato abatalina otfunamenfuna ya uganda butuufu eserbamby omwana oyo bingi bye yeegomba okuva mu buto bwe ate by'atasobola kwetuusaako bw'afuna mu naawumuwaamagezi nti ekya mazima nze kaboyiaadeyaatei ebintu kati bisusse mu uganda wano ebyegombebw'omwana by'atasobola kwetuusaako ng'ate abazadde nabo bambi bwe beetunulamubamufuna mpola tebasobola kulabirira mwana oyo bintu by'ayagala ekivaamu omwana akemererwan'ayagala omulenzi omulenzi naye n'atoba okuatejukira ba mbi ba tannategeera bigambo bya kufuna famire fulany'obakola kyagenda layivu n'afuna mbuto eky a mazima nze mbadde nsaba be kikwata govenment use mbeera embeera etuyisa nnyo abaana ne tubafaako embeera gwe ennyiga gwa omuzadde olina olabirira maama we olina olabirira n'abato kati kano akasuumuseemu bwe ka kubulako ne kegulirayoobaakapala oba ka ki oba tokyabisobola ne eyiiya batuyambe buduufuembeera bagikyusa mu etulemye,my opinion about these young children who don't have uganda's economy is really eserbamby that child has many desires from his childhood and what he can't afford when he gets in naawumwa amagezi that the truth is I kaboyiaadeyaatei things are now too much in uganda here the desires of a child that he can't afford while parents also bambi when they look at him they get him slowly they can where you have to take care of the young ones now this is a joke if you don't buy it or you don't have it or you can't even create it to help us properly and turn it into a failure,"A parent expresses frustration with the lack of resources available in Uganda, leading to a desire for more. Despite efforts to provide for their child, they struggle financially and feel overwhelmed. This situation highlights the need for government intervention to improve living conditions for families.","A person expresses sympathy for children in Uganda facing economic struggles, acknowledging their unfulfilled childhood dreams. They advocate for support and resources to improve outcomes for all children."
SIMBA 10.2.mp3,lug,matuggakyenkugamba kiri kimu nti gavumenti erina okuteekawo enkola kiseera smesaabantuakabyata kale muko eteekewo n'etteeka nti omwana okufuna olubuto nga tannaweza myaka kumi na munaana alimufunisizza kalabba naye musango naye bw'ovutukogamba mbu ba nabba ku bampisa boyononakabalaba katiwewakawakanyizibwa bateekewo eteeka nti okukwata oba sibwa emyaka abiri singa ofunizizaomwana olubuto nga tannaba kwetuuka,matugakyenkugamba it's one that the government should put in place a policy when smesaabantuakabyata so muko should put in place a law that a child getting pregnant before the age of eighteen will get him a clue but it's a crime but if you tell us mbu ba nabba on my behaviour boyononabalaba katiwewakaba let them put in place a law that arrest or not for twenty years if you,"The government should establish policies to prevent teenage pregnancy. A law was passed requiring a twenty-year prison sentence for those who have sex before the age of eighteen, despite backlash from some.","A proposal is being considered to make it illegal for minors under 18 to get pregnant, with harsher penalties than currently exist. Supporters argue that this would help prevent teenage pregnancy and its associated consequences."
SIMBA 10.3.mp3,lug,amannya abampita dawuda tuahandawula ng'era mpangaalirawano ekawembelabekyandi saanyikukolebwa baana ku bakuliza buli omwana w'abeera mu eddiini mu nsi kimuyamba okubeera ng'akola ki we gamba yeetagira ebikolwa nga ebyo naye oluusi kati mu ggwanga lyaffe wano nga bw'olirabaeby'obwononefu bingi ebizze abantu be twanditutte ng'abakulembeze nabo ne babiraba ne babeera nga babikola ki babiwagira buwagizi,the names of those who call dauda we have separated as well as the neighbors of the frontline would not be done by children to raise every child who lives in a religion in the world helps him to be what he is doing where he wants such actions but sometimes now in our country here as you will see a lot of corruption that has come to people we would consider as leaders also see them and they are doing what they support,"In our society, names like Dawudi are associated with a strong sense of duty and responsibility. It's common to see children named after historical figures who embodied these values. However, in today's world, many people with these names have fallen victim to corruption or neglect, even though they should be upholding the same standards.","The separation of children from their parents at Dada was done for religious reasons. Despite this, some children are being used by corrupt individuals in positions of power."
SIMBA 10.4.mp3,lug,jajjawaabaananga ndimatugganaye abaana kati beetaaga okubuulirirwa n'oumaumabaana tebakyalina mikwano gy'abazadde olw'ensonga abazadde tukolaensonga eyo yeeretedde ddala abaana okubeera nti bafuuka kireereese gwa b'ovaayookujja okukola n'omwana n'akwata lirye tewaba awo azza amuddaabirizakate n'asigala nga ye agenda n'ensi gw'okomawokumubikana kumuwa mmere beetaaga kumuwa ku mwana kuddaabiriza na kubuulirirwa,jajawaabaananga ndimatugganaye children now need to be advised and the mothers no longer have friends of the parents for the reason parents are doing that reason it's entirely up to the children to be the cause of the outsiders who come to work with the child and take it there is no one to repair it and he keeps going with the world to return to him to give him food they need to give him on the child to re,"Parents are seeking to repair the bond with their children who have grown distant. The parents are working on building trust and providing support for the child's emotional well-being, aiming to improve communication and create a sense of belonging.","Parents used to fight, but now children are being taught by outsiders to help them. The parents no longer have friends, leaving the children alone."
